timestamp,open,high,low,close,volume
2025-04-15,525.7400,606.3600,503.5900,583.5900,77007370
2025-03-31,474.3700,528.1200,465.2075,523.7500,92813968
2025-02-28,542.0000,553.9100,438.5000,474.9600,103666615
2025-01-31,508.0000,551.9050,502.8000,542.4900,91235503
2024-12-31,614.0000,622.8300,475.8200,505.8600,143933588
2024-11-29,565.1200,630.7300,554.4000,610.2000,67006436
2024-10-31,585.0000,608.6300,543.0000,564.5000,74142967
2024-09-30,592.5200,607.9400,566.0000,584.6800,60790994
2024-08-30,577.2000,593.2550,557.0250,590.2000,60430104
2024-07-31,506.7450,581.5000,484.5000,576.1600,95465875
2024-06-28,494.1300,509.4000,478.1100,509.2600,89758009
2024-05-31,479.2600,528.1600,473.2700,495.3700,72647277
2024-04-30,494.4700,507.3000,436.3800,483.7000,120360970
2024-03-28,489.4200,496.2000,468.1900,494.7000,82006419
2024-02-29,508.8300,532.8100,484.3900,493.6000,70449735
2024-01-31,526.8400,549.0000,479.0000,511.7400,96991861
2023-12-29,550.4200,554.7000,515.8700,526.4700,61579456
2023-11-30,529.9800,553.9400,526.8000,552.9700,55881068
2023-10-31,505.5300,546.7800,503.1350,535.5600,62298870
2023-09-29,479.0000,514.1500,472.1200,504.1900,60030414
2023-08-31,507.5000,513.6500,476.2900,476.5800,52519924
2023-07-31,478.1000,515.8600,447.1800,506.3700,89701038
2023-06-30,487.7900,502.9000,445.6800,480.6400,92431339
2023-05-31,494.5900,500.8500,472.5440,487.2400,53525087
2023-04-28,485.2000,530.4500,478.3600,492.0900,66256067
2023-03-31,473.6100,486.2900,457.5900,472.5900,72716281
2023-02-28,499.9500,504.3800,463.8900,475.9400,69807542
2023-01-31,525.1300,525.6300,474.7500,499.1900,81009853
2022-12-30,552.3600,553.0000,515.7200,530.1800,53394257
2022-11-30,555.0000,555.6900,500.7724,547.7600,77569978
2022-10-31,507.0800,558.1000,487.7400,555.1500,59745267
2022-09-30,519.3300,535.0200,499.0000,505.0400,54731954
2022-08-31,542.2700,553.1299,519.1550,519.3300,46439244
2022-07-29,512.3200,544.3350,492.2500,542.3400,58397128
2022-06-30,498.3200,518.7000,449.7009,513.6300,84916222
2022-05-31,510.8100,513.5100,463.3300,496.7800,67952080
2022-04-29,510.6800,553.2900,504.5301,508.5500,61044463
2022-03-31,470.8900,521.8900,467.7250,509.9700,73507995
2022-02-28,475.0000,500.9300,445.7350,475.8700,58396877
2022-01-31,500.0000,503.7500,447.2700,472.5700,80582632
2021-12-31,452.8900,509.2300,439.2186,502.1400,64879882
2021-11-30,461.8200,466.0000,436.0000,444.2200,61039911
2021-10-29,391.6000,461.3900,383.1200,460.4700,60243412
2021-09-30,416.5400,424.4000,390.4600,390.7400,59614464
2021-08-31,413.5700,431.3550,404.3000,416.2700,47566823
2021-07-30,402.0300,422.5300,401.8100,412.2200,51539661
2021-06-30,413.7300,413.7300,387.2500,400.4400,82542898
2021-05-28,401.0000,425.9800,400.5300,411.9200,49822954
2021-04-30,372.2000,402.1600,360.5500,398.8000,56372667
2021-03-31,334.3600,380.5000,332.6700,372.0700,79604224
2021-02-26,335.0300,344.6385,320.3500,332.2200,68431649
2021-01-29,351.4500,367.4900,329.0100,333.5800,63101362
2020-12-31,344.7700,354.1000,329.4000,350.6800,63854874
2020-11-30,312.6400,367.9500,307.3600,336.3400,74426741
2020-10-30,312.9100,335.6500,299.6000,305.1400,57918602
2020-09-30,310.1600,323.8200,289.6400,311.7700,59491725
2020-08-31,303.5900,324.5700,299.2000,312.5500,57139772
2020-07-31,295.8300,310.9700,287.1000,302.7800,61193416
2020-06-30,304.0200,315.8400,273.7100,294.9500,85388092
2020-05-29,288.3900,309.6600,275.5600,304.8500,86546932
2020-04-30,238.6900,304.0000,226.0300,292.4700,104200450
2020-03-31,257.3400,295.8400,187.7200,249.3800,189391290
2020-02-28,275.1300,306.7100,245.3000,254.9600,94507652
2020-01-31,293.9800,302.5400,271.1800,272.4500,84096898
2019-12-31,281.7800,300.0000,273.8500,293.9800,60274999
2019-11-29,253.9900,283.0000,249.0900,279.8700,72478136
2019-10-31,219.1900,255.7200,212.0800,252.7000,109184046
2019-09-30,231.7400,236.5600,213.1200,217.3200,88063142
2019-08-30,249.1900,251.5800,220.7800,234.0000,77474956
2019-07-31,245.9500,268.6900,239.5400,249.0100,82532528
2019-06-28,241.4900,253.4900,234.8300,244.0100,72928655
2019-05-31,233.0700,251.1800,227.1800,241.8000,101176377
2019-04-30,249.7100,250.2000,208.0700,233.0700,173460764
2019-03-29,243.5600,259.2500,234.5100,247.2600,101321079
2019-02-28,268.4700,272.4900,239.1500,242.2200,77373218
2019-01-31,245.0000,272.4400,236.1300,270.2000,82837918
2018-12-31,283.0000,287.9400,231.8100,249.1200,88903868
2018-11-30,262.9200,285.4500,258.2800,281.3600,74855147
2018-10-31,267.2500,272.8100,253.3200,261.3500,84594810
2018-09-28,268.0000,271.1600,257.4828,266.0400,53229183
2018-08-31,256.1000,270.1700,252.2300,268.4600,47632697
2018-07-31,245.0000,259.0100,244.1200,253.2200,49242993
2018-06-29,243.7400,256.7300,241.2900,245.3400,55453967
2018-05-31,237.0000,249.1700,228.2300,241.5100,59234312
2018-04-30,218.4600,241.6700,214.6300,236.4000,72538943
2018-03-29,225.7000,231.2700,212.5000,214.0000,77681924
2018-02-28,235.2600,237.8200,208.4800,226.1600,78563087
2018-01-31,221.0200,250.7900,220.0000,236.7800,80464848
2017-12-29,228.8900,231.7700,218.1900,220.4600,54351155
2017-11-30,211.6200,228.7500,208.9200,228.1700,50583864
2017-10-31,196.5900,212.7700,186.0000,210.2200,78087204
2017-09-29,199.7900,200.7600,188.2500,195.8500,56972628
2017-08-31,193.4000,199.4900,190.6300,198.9000,49985387
2017-07-31,186.2900,193.0000,183.8600,191.8100,55358151
2017-06-30,175.7800,188.6600,175.1900,185.4200,64667674
2017-05-31,175.0000,178.8900,166.6500,175.1800,62990645
2017-04-28,164.6200,176.0700,164.2500,174.8800,61062597
2017-03-31,166.7200,172.1400,162.7400,164.0100,84728788
2017-02-28,162.7500,166.7600,156.4900,165.3800,72700333
2017-01-31,161.1300,163.8000,156.0900,162.1000,72827837
2016-12-30,159.1200,164.0000,156.2300,160.0400,76784612
2016-11-30,141.5100,159.7600,136.2200,158.3200,96191309
2016-10-31,139.3500,146.3600,133.0300,141.3300,82023354
2016-09-30,136.8200,141.7800,132.3900,140.0000,67532220
2016-08-31,143.4200,144.1600,135.5500,136.0500,50523902
2016-07-29,141.1600,144.4800,139.3200,143.2000,71181693
2016-06-30,133.5800,141.3100,133.0200,141.2000,76463115
2016-05-31,132.6100,134.7500,128.5300,133.6700,55542218
2016-04-29,128.6900,135.1100,125.2600,131.6800,71248537
2016-03-31,119.4900,131.1050,119.3700,128.9000,67586265
2016-02-29,114.8300,122.2600,108.8301,119.1000,72336857
2016-01-29,116.9100,117.8900,107.5100,115.1600,88343063
2015-12-31,113.5300,121.0900,113.0500,117.6400,76130047
2015-11-30,118.6400,119.9500,109.6100,112.7100,82092408
2015-10-30,115.9400,125.9900,110.0718,117.7800,105957349
2015-09-30,113.5000,125.1200,111.0050,116.0100,94234869
2015-08-31,121.6100,126.2100,95.0000,115.7000,84222248
2015-07-31,122.9500,126.0500,116.6600,121.4000,95034628
2015-06-30,120.5400,124.1100,115.3600,122.0000,106435443
