timestamp,open,high,low,close,volume
2025-04-15,364.1400,372.3099,326.3100,354.1100,52417653
2025-03-31,396.9500,397.0700,345.2600,366.4900,84772709
2025-02-28,406.1200,417.9999,378.2000,396.6000,64604015
2025-01-31,392.1300,426.1859,380.1000,411.9800,63515367
2024-12-31,429.0000,436.3600,383.0500,388.9900,65470496
2024-11-29,394.8000,439.3700,381.7200,429.1300,74405832
2024-10-31,404.0200,421.5600,389.0500,393.7500,70787312
2024-09-30,367.9000,405.3100,357.5800,405.2000,62986179
2024-08-30,369.9900,378.5821,339.3700,368.5000,77007018
2024-07-31,343.9200,375.7400,331.6400,368.1600,67272369
2024-06-28,333.6500,357.6850,323.9300,344.2400,71174786
2024-05-31,333.0100,350.4400,323.7700,334.8700,81272144
2024-04-30,381.4700,383.1390,326.9000,334.2200,83406878
2024-03-28,380.3600,396.8729,368.8700,383.6000,66642508
2024-02-29,353.4000,381.7800,350.0200,380.6100,61632074
2024-01-31,344.2100,362.9600,336.5900,352.9600,65202728
2023-12-29,313.8300,354.9200,313.0000,346.5500,84994857
2023-11-30,285.5900,314.5800,282.0201,313.4900,71802299
2023-10-31,300.5200,303.4500,274.2600,284.6900,60468904
2023-09-29,332.0000,333.4500,299.8200,302.1600,55810667
2023-08-31,331.7600,338.1700,321.2000,330.3000,69785687
2023-07-31,309.7800,334.0700,300.8900,333.8400,58388191
2023-06-30,284.0500,315.4627,279.9800,310.6400,92369913
2023-05-31,298.9800,299.5600,277.0900,283.4500,116522469
2023-04-28,294.8700,303.2000,284.2400,300.5400,62435268
2023-03-31,291.9200,300.1100,279.9300,295.1200,104357169
2023-02-28,322.3900,341.4691,292.0010,296.5400,74571071
2023-01-31,317.4200,335.1631,307.3901,324.1700,63001767
2022-12-30,326.3100,347.2500,310.7250,315.8600,77732606
2022-11-30,300.3700,329.0750,277.5000,323.9900,108648041
2022-10-31,281.0000,299.2800,267.8650,296.1300,65952438
2022-09-30,288.4000,302.8300,265.6100,275.9400,84349160
2022-08-31,300.6400,332.9800,288.2800,288.4200,76503611
2022-07-29,275.7300,310.6700,274.5500,300.9400,54068981
2022-06-30,301.7400,308.4600,264.5100,274.2700,95093227
2022-05-31,301.9900,315.7500,279.5900,302.7500,105291435
2022-04-29,300.5000,318.4000,293.5901,300.4000,86568095
2022-03-31,314.5900,340.7400,298.8900,299.3300,115319554
2022-02-28,369.4700,374.6700,299.2900,315.8300,102999463
2022-01-31,416.5700,417.8446,343.6100,366.9800,100905939
2021-12-31,402.0800,420.6100,380.9000,415.0100,84855365
